intersection_id,hour,control_type,vehicle_count,wait_time,emergency_wait_time,fuel_consumption,emissions,cycle_time,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,ai_model_loss,ai_model_val_loss,day
T1,0,traditional,40,35.30176700058722,15.0,1.2932722132966405,3.5694313086987277,70.0,suburban,low,10,3,0.0,0.0,,,0
T1,1,traditional,43,38.70959473343259,15.0,1.3636229380535574,3.763599309027818,70.0,suburban,low,7,4,0.0,0.0,,,0
T1,2,traditional,30,32.42066562892071,0.0,0.9400645897263149,2.594578267644629,70.0,suburban,low,7,2,0.0,0.0,,,0
T1,3,traditional,49,37.72859024050568,15.0,1.5306510011677117,4.224596763222884,70.0,suburban,low,8,2,0.0,0.0,,,0
T1,4,traditional,37,40.995897106466884,15.0,1.2106131072567736,3.341292176028695,70.0,suburban,low,5,4,0.0,0.0,,,0
T1,5,traditional,78,30.656598417946824,15.0,2.335129300606876,6.444956869674978,70.0,suburban,low,15,8,0.0,0.0,,,0
T1,6,traditional,105,46.38443890625118,15.0,3.753495255315144,10.359646904669797,100.0,suburban,low,23,9,0.0,0.0,,,0
T1,7,traditional,290,69.36486580711262,15.0,15.651557189288813,46.798155995973545,130.0,suburban,low,56,22,0.0,0.0,,,0
T1,8,traditional,214,67.60768875506056,15.0,11.225844500726302,33.56527505717164,130.0,suburban,low,45,22,0.0,0.0,,,0
T1,9,traditional,71,46.44284640717117,15.0,3.0419989024067844,8.395916970642723,100.0,suburban,low,22,8,0.0,0.0,,,0
T1,10,traditional,173,58.04852839529523,15.0,6.905590130630442,19.059428760540015,110.00000000000001,suburban,low,37,19,0.0,0.0,,,0
T1,11,traditional,160,52.99015476770518,15.0,6.194502393957055,17.09682660732147,110.00000000000001,suburban,low,29,18,0.0,0.0,,,0
T1,12,traditional,202,59.701067156712206,15.0,8.254913476909962,22.783561196271492,110.00000000000001,suburban,low,41,22,0.0,0.0,,,0
T1,13,traditional,187,48.85803711137062,15.0,6.948022982326993,19.1765434312225,110.00000000000001,suburban,low,36,21,0.0,0.0,,,0
T1,14,traditional,136,50.8754889033482,15.0,5.058723063970266,13.962075656557934,110.00000000000001,suburban,low,19,17,0.0,0.0,,,0
T1,15,traditional,158,51.786628173320445,15.0,5.953482914180228,16.431612843137426,100.0,suburban,low,28,16,0.0,0.0,,,0
T1,16,traditional,245,66.02451411972731,15.0,12.745299651424109,38.10844595775808,140.0,suburban,low,50,29,0.0,0.0,,,0
T1,17,traditional,275,69.11221133482555,15.0,14.704092487561608,43.965236537809204,140.0,suburban,low,59,20,0.0,0.0,,,0
T1,18,traditional,327,65.39000378421818,15.0,17.129412487710038,51.21694333825301,140.0,suburban,low,80,29,0.0,0.0,,,0
T1,19,traditional,113,48.87096489197445,15.0,4.113235989023888,11.35253132970593,90.0,suburban,low,27,13,0.0,0.0,,,0
T1,20,traditional,124,44.45429889709582,15.0,4.384701327554603,12.101775664050702,90.0,suburban,low,21,10,0.0,0.0,,,0
T1,21,traditional,110,43.45332572631018,15.0,3.887477946087282,10.729439131200898,90.0,suburban,low,22,7,0.0,0.0,,,0
T1,22,traditional,42,31.939660993193804,15.0,1.2723817736917904,3.511773695389341,70.0,suburban,low,11,2,0.0,0.0,,,0
T1,23,traditional,48,40.633899811273274,15.0,1.549428497169099,4.276422652186713,70.0,suburban,low,11,8,0.0,0.0,,,0
T1,0,traditional,50,39.58964652963292,15.0,1.689618056627832,4.663345836292816,70.0,suburban,low,9,8,0.0,0.0,,,1
T1,1,traditional,55,32.47144865848343,15.0,1.681504402155566,4.640952149949362,70.0,suburban,low,14,4,0.0,0.0,,,1
T1,2,traditional,47,31.712672076669204,15.0,1.4154034144833716,3.906513423974105,70.0,suburban,low,11,6,0.0,0.0,,,1
T1,3,traditional,44,29.220743941440688,15.0,1.2955680451298694,3.5757678045584393,70.0,suburban,low,14,10,0.0,0.0,,,1
T1,4,traditional,36,36.860553501171665,15.0,1.097789116187947,3.029897960678733,70.0,suburban,low,5,3,0.0,0.0,,,1
T1,5,traditional,68,33.083989188197236,15.0,2.074863055353949,5.726622032776899,70.0,suburban,low,8,8,0.0,0.0,,,1
T1,6,traditional,85,50.05648795026704,15.0,3.121356243029857,8.614943230762405,100.0,suburban,low,11,8,0.0,0.0,,,1
T1,7,traditional,232,65.53215705490516,15.0,12.015483711677234,35.92629629791493,130.0,suburban,low,50,18,0.0,0.0,,,1
T1,8,traditional,272,62.01459009275404,15.0,13.792276349745089,41.23890628573781,130.0,suburban,low,55,32,0.0,0.0,,,1
T1,9,traditional,58,53.33151441684683,15.0,2.5542256565939563,7.049662812199318,100.0,suburban,low,5,4,0.0,0.0,,,1
T1,10,traditional,197,59.25629405515515,15.0,8.002360966557507,22.08651626769872,110.00000000000001,suburban,low,34,13,0.0,0.0,,,1
T1,11,traditional,178,58.17055796818938,15.0,7.1052775285803875,19.610565978881866,110.00000000000001,suburban,low,40,20,0.0,0.0,,,1
T1,12,traditional,188,52.60459416976597,15.0,7.1781567187452335,19.811712543736842,110.00000000000001,suburban,low,36,25,0.0,0.0,,,1
T1,13,traditional,206,55.05217405291656,15.0,8.05764682098668,22.239105225923236,110.00000000000001,suburban,low,36,16,0.0,0.0,,,1
T1,14,traditional,156,58.05372046080694,15.0,6.194447608006539,17.096675398098046,110.00000000000001,suburban,low,32,21,0.0,0.0,,,1
T1,15,traditional,179,51.18608413606361,15.0,6.730068570289877,18.57498925400006,100.0,suburban,low,31,22,0.0,0.0,,,1
T1,16,traditional,275,65.8412946863255,15.0,14.349852214529049,42.90605812144185,140.0,suburban,low,44,23,0.0,0.0,,,1
T1,17,traditional,253,68.09512948666315,15.0,13.34598075802565,39.90448246649669,140.0,suburban,low,52,19,0.0,0.0,,,1
T1,18,traditional,208,62.86055942863363,15.0,10.446552715113631,31.235192618189753,140.0,suburban,low,38,27,0.0,0.0,,,1
T1,19,traditional,82,42.99307634172994,15.0,2.8309232622848803,7.813348203906269,90.0,suburban,low,13,4,0.0,0.0,,,1
T1,20,traditional,123,43.33933481600689,15.0,4.269722492417875,11.784434079073334,90.0,suburban,low,21,10,0.0,0.0,,,1
T1,21,traditional,148,39.61217761119578,15.0,4.979393414226287,13.74312582326455,90.0,suburban,low,30,6,0.0,0.0,,,1
T1,22,traditional,46,36.50221314533202,15.0,1.4229045364132922,3.9272165205006857,70.0,suburban,low,10,6,0.0,0.0,,,1
T1,23,traditional,45,32.34119033974761,15.0,1.3629960813753783,3.7618691845960432,70.0,suburban,low,10,2,0.0,0.0,,,1
T1,0,traditional,45,33.134217097646506,15.0,1.3743760153512277,3.793277802369388,70.0,suburban,low,7,6,0.0,0.0,,,2
T1,1,traditional,46,33.49643536626743,15.0,1.3797716252837153,3.808169685783054,70.0,suburban,low,13,5,0.0,0.0,,,2
T1,2,traditional,41,33.56363211109331,15.0,1.2705110549775427,3.5066105117380175,70.0,suburban,low,9,3,0.0,0.0,,,2
T1,3,traditional,36,33.08333463776721,15.0,1.0560508477473278,2.9147003397826245,70.0,suburban,low,8,2,0.0,0.0,,,2
T1,4,traditional,56,47.110521574722156,15.0,1.9401273724605128,5.354751547991015,70.0,suburban,low,10,7,0.0,0.0,,,2
T1,5,traditional,100,33.09500467564415,15.0,3.187690709851813,8.798026359191002,70.0,suburban,low,24,15,0.0,0.0,,,2
T1,6,traditional,87,52.40014536880492,15.0,3.261517432733632,9.001788114344823,100.0,suburban,low,15,12,0.0,0.0,,,2
T1,7,traditional,257,67.89367356625635,15.0,13.580650417962493,40.60614474970785,130.0,suburban,low,44,20,0.0,0.0,,,2
T1,8,traditional,237,65.56604464316526,15.0,12.26930600252873,36.6852249475609,130.0,suburban,low,33,16,0.0,0.0,,,2
T1,9,traditional,95,45.28838153566711,15.0,4.032791884450397,11.130505601083094,100.0,suburban,low,14,12,0.0,0.0,,,2
T1,10,traditional,162,52.62241402642342,15.0,6.205239064101763,17.126459816920864,110.00000000000001,suburban,low,27,16,0.0,0.0,,,2
T1,11,traditional,178,52.658656883293105,15.0,6.786138455764894,18.729742137911106,110.00000000000001,suburban,low,40,22,0.0,0.0,,,2
T1,12,traditional,169,55.63523304076435,15.0,6.584469198952591,18.173134989109148,110.00000000000001,suburban,low,30,16,0.0,0.0,,,2
T1,13,traditional,161,57.25240574363896,15.0,6.4202781343752475,17.71996765087568,110.00000000000001,suburban,low,29,11,0.0,0.0,,,2
T1,14,traditional,214,57.176931500548164,15.0,8.581162813560704,23.684009365427542,110.00000000000001,suburban,low,44,18,0.0,0.0,,,2
T1,15,traditional,191,47.401550704197,15.0,7.032398340264264,19.409419419129364,100.0,suburban,low,33,18,0.0,0.0,,,2
T1,16,traditional,291,70.77516412573532,15.0,15.815418248199443,47.288100562116334,140.0,suburban,low,71,23,0.0,0.0,,,2
T1,17,traditional,222,66.87798421292429,15.0,11.597929379893841,34.67780884588259,140.0,suburban,low,61,12,0.0,0.0,,,2
T1,18,traditional,250,75.272315131681,15.0,14.011959198036418,41.895758002128886,140.0,suburban,low,54,23,0.0,0.0,,,2
T1,19,traditional,133,42.79741893406292,15.0,4.605917515893704,12.71233234386662,90.0,suburban,low,39,7,0.0,0.0,,,2
T1,20,traditional,123,46.719971637859715,15.0,4.40444086976871,12.156256800561637,90.0,suburban,low,24,14,0.0,0.0,,,2
T1,21,traditional,129,43.981301321507914,15.0,4.490924533374137,12.394951712112618,90.0,suburban,low,34,13,0.0,0.0,,,2
T1,22,traditional,50,28.106258396170592,15.0,1.5001421524257035,4.140392340694941,70.0,suburban,low,6,6,0.0,0.0,,,2
T1,23,traditional,45,42.6064546119647,15.0,1.5103026236816934,4.168435241361474,70.0,suburban,low,5,6,0.0,0.0,,,2
T1,0,traditional,41,33.86811226072254,0.0,1.274530192952649,3.517703332549311,70.0,suburban,low,3,4,0.0,0.0,,,3
T1,1,traditional,47,40.85562853109992,15.0,1.5525477612998322,4.285031821187537,70.0,suburban,low,6,4,0.0,0.0,,,3
T1,2,traditional,56,37.75798055515282,15.0,1.7750550234651141,4.899151864763714,70.0,suburban,low,13,9,0.0,0.0,,,3
T1,3,traditional,40,32.35119001464163,15.0,1.2543245970821586,3.4619358879467574,70.0,suburban,low,12,4,0.0,0.0,,,3
T1,4,traditional,51,29.595104949754262,15.0,1.524935898337612,4.208823079411808,70.0,suburban,low,5,2,0.0,0.0,,,3
T1,5,traditional,94,38.182933074363326,15.0,3.108086640964407,8.578319129061763,70.0,suburban,low,20,13,0.0,0.0,,,3
T1,6,traditional,103,49.54868145252865,15.0,3.759759213852133,10.376935430231887,100.0,suburban,low,21,10,0.0,0.0,,,3
T1,7,traditional,238,68.01611565726992,15.0,12.499294623883847,37.3728909254127,130.0,suburban,low,45,27,0.0,0.0,,,3
T1,8,traditional,256,61.5807839198981,15.0,12.841053489879371,38.39474993473932,130.0,suburban,low,44,28,0.0,0.0,,,3
T1,9,traditional,100,51.46034149335008,15.0,4.563429523136662,12.595065483857187,100.0,suburban,low,18,5,0.0,0.0,,,3
T1,10,traditional,186,57.87517887935432,15.0,7.419755414478237,20.47852494395993,110.00000000000001,suburban,low,31,16,0.0,0.0,,,3
T1,11,traditional,169,57.25390512792002,15.0,6.673253362933079,18.418179281695295,110.00000000000001,suburban,low,31,19,0.0,0.0,,,3
T1,12,traditional,195,57.56661942912167,15.0,7.812445317216086,21.56234907551639,110.00000000000001,suburban,low,44,19,0.0,0.0,,,3
T1,13,traditional,193,51.00979845949207,15.0,7.288762368580581,20.1169841372824,110.00000000000001,suburban,low,51,16,0.0,0.0,,,3
T1,14,traditional,209,51.01802246880459,15.0,7.89300420677993,21.784691610712603,110.00000000000001,suburban,low,45,13,0.0,0.0,,,3
T1,15,traditional,176,52.64457291030067,15.0,6.707941799114713,18.513919365556607,100.0,suburban,low,28,14,0.0,0.0,,,3
T1,16,traditional,154,63.41225990615025,15.0,7.745419879123967,23.15880543858066,140.0,suburban,low,29,19,0.0,0.0,,,3
T1,17,traditional,207,69.50112695476149,15.0,10.985482089039394,32.846591446227784,140.0,suburban,low,47,30,0.0,0.0,,,3
T1,18,traditional,280,68.66417682762017,15.0,15.015787926646524,44.89720590067311,140.0,suburban,low,61,35,0.0,0.0,,,3
T1,19,traditional,114,43.13339345806362,15.0,3.973082236639967,10.965706973126307,90.0,suburban,low,21,15,0.0,0.0,,,3
T1,20,traditional,135,43.958658882299254,15.0,4.7534289237652825,13.119463829592178,90.0,suburban,low,23,8,0.0,0.0,,,3
T1,21,traditional,141,41.23271599026258,15.0,4.864878145416799,13.427063681350363,90.0,suburban,low,29,13,0.0,0.0,,,3
T1,22,traditional,53,33.06364407254553,15.0,1.6060649271040266,4.432739198807113,70.0,suburban,low,11,4,0.0,0.0,,,3
T1,23,traditional,37,37.96537863029288,15.0,1.175156041085538,3.2434306733960843,70.0,suburban,low,6,2,0.0,0.0,,,3
T1,0,traditional,45,31.219203391635798,15.0,1.3468955686699735,3.717431769529126,70.0,suburban,low,5,5,0.0,0.0,,,4
T1,1,traditional,52,29.971623327768555,15.0,1.554042468517901,4.289157213109406,70.0,suburban,low,12,7,0.0,0.0,,,4
