control_type,hour,day,intersection_id,intersection_type,wait_time,wait_time_max,wait_time_min,wait_time_median,wait_time_std,vehicle_count,vehicles_waited,wait_episodes,red_light_waits,yellow_light_waits,congestion_waits
traditional,0,0,T1,suburban_low,0.0,0.0,inf,0.0,0.0,40,0,0,0,0,0
traditional,1,0,T1,suburban_low,1.9285714285714217,2.199999999999992,1.2999999999999954,1.999999999999993,0.26572964625340295,28,7,7,3,0,0
traditional,2,0,T1,suburban_low,6.878571428571443,12.300000000000031,1.2999999999999954,6.800000000000013,4.960728427419953,48,14,18,10,0,0
traditional,3,0,T1,suburban_low,20.52380952380964,27.300000000000157,11.400000000000034,22.900000000000173,6.405645186039721,30,21,32,10,11,0
traditional,4,0,T1,suburban_low,28.562962962963223,37.400000000000375,22.200000000000173,27.100000000000158,5.514838444841618,42,27,49,10,22,0
traditional,5,0,T1,suburban_low,39.72857142857187,52.40000000000052,25.100000000000342,41.700000000000465,9.914767382288877,73,35,71,10,40,0
traditional,6,0,T1,suburban_low,39.72857142857187,52.40000000000052,25.100000000000342,41.700000000000465,9.914767382288877,73,35,71,10,40,0
traditional,7,0,T1,suburban_low,33.851724137931434,52.40000000000052,1.6000000000001435,42.40000000000046,19.79102235845515,258,29,96,10,43,0
traditional,8,0,T1,suburban_low,8.375000000000089,17.500000000000114,1.6000000000001435,6.800000000000061,6.274452167321087,178,32,127,14,57,0
traditional,9,0,T1,suburban_low,10.778787878787943,17.500000000000114,1.8999999999999932,12.70000000000004,5.334607285864533,80,33,164,11,47,0
traditional,10,0,T1,suburban_low,27.33555555555574,42.60000000000029,12.000000000000043,27.00000000000017,10.424674906853548,166,45,203,11,88,0
traditional,11,0,T1,suburban_low,31.35283018867951,42.60000000000029,15.300000000000129,32.20000000000033,7.94318513590364,148,53,248,11,100,0
traditional,12,0,T1,suburban_low,45.922222222222715,67.70000000000064,15.300000000000129,47.20000000000054,14.304183475578107,156,63,295,11,147,0
traditional,13,0,T1,suburban_low,45.922222222222715,67.70000000000064,15.300000000000129,47.20000000000054,14.304183475578107,141,63,295,11,147,0
traditional,14,0,T1,suburban_low,43.32909090909138,67.70000000000064,2.200000000000152,49.00000000000054,21.034306806023455,148,55,345,11,151,0
traditional,15,0,T1,suburban_low,14.861403508772064,32.80000000000023,2.200000000000152,14.10000000000013,10.663279413704114,146,57,404,15,182,0
traditional,16,0,T1,suburban_low,16.38750000000012,32.80000000000023,2.499999999999991,14.10000000000013,9.661060694872049,202,56,465,15,165,0
traditional,17,0,T1,suburban_low,34.46857142857168,57.90000000000042,5.499999999999904,33.300000000000246,14.624222009657773,159,70,532,15,240,0
traditional,18,0,T1,suburban_low,36.17307692307721,57.90000000000042,5.499999999999904,37.40000000000032,12.467544255518646,191,78,601,15,251,0
