intersection_id,control_type,hour,vehicle_count,emergency_vehicle_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,emergency_preemption_count,intersection_type,day
T1,traditional,0,63,4,21.865067763155594,2.1719377669654807,105.61300808853188,1.7008246086512695,4.694275919877503,0,suburban_medium,0
T1,traditional,1,60,1,17.337848715798764,1.781551337752891,100.09020381877424,1.5896894045728158,4.387542756620971,0,suburban_medium,0
T1,traditional,2,87,2,22.940273740927044,2.545925114426873,99.84171777733073,2.430749052827476,6.708867385803834,0,suburban_medium,0
T1,traditional,3,58,3,22.72545513914441,2.172440532503774,100.16348435205107,1.5655047179352315,4.320793021501238,0,suburban_medium,0
T1,traditional,4,82,2,29.646239771303605,4.348360539184815,97.17563499719361,2.475230067683019,6.831634986805131,0,suburban_medium,0
T1,traditional,5,142,9,25.41141030686299,3.981970893171884,105.01070121587355,4.1563977865315636,11.471657890827114,0,suburban_medium,0
T1,traditional,6,139,6,28.56082300979663,2.9706061889043127,101.96697748090419,4.159988994290359,11.48156962424139,0,suburban_medium,0
T1,traditional,7,454,25,36.528950861515554,4.954034709450236,96.61911559664834,19.03310871045251,52.53138004084892,0,suburban_medium,0
T1,traditional,8,537,27,41.58016715750529,3.919999211804281,103.49169540021339,23.87260264407742,65.88838329765368,0,suburban_medium,0
T1,traditional,9,162,10,38.78178847352724,4.752822559637232,102.34396421050633,6.593661454224743,18.198505613660288,0,suburban_medium,0
T1,traditional,10,280,13,34.51857919176239,4.0563191339360145,103.61744214582443,9.286672272874402,25.63121547313335,0,suburban_medium,0
T1,traditional,11,212,12,28.898323897819168,2.3383012257661395,94.61140128913185,6.5333984270933225,18.03217965877757,0,suburban_medium,0
T1,traditional,12,353,14,29.707961536441257,3.8983844229139617,103.06540210722534,11.192712103398632,30.891885405380222,0,suburban_medium,0
T1,traditional,13,374,23,29.88494928437267,3.98883481111991,93.61985621681657,11.950817650866728,32.98425671639217,0,suburban_medium,0
T1,traditional,14,349,23,27.744714441108393,4.291778589968769,90.13755517857064,10.815090291563301,29.84964920471471,0,suburban_medium,0
T1,traditional,15,327,20,30.972375140418748,2.1765595271107205,108.23942889303586,10.48111975674764,28.927890528623482,0,suburban_medium,0
T1,traditional,16,445,27,42.665669806136066,3.3767304813249392,108.0138388434614,19.695360931353616,54.359196170535974,0,suburban_medium,0
T1,traditional,17,372,17,38.004944987653225,4.3754830571122625,99.45053066090279,15.604590023087244,43.06866846372079,0,suburban_medium,0
T1,traditional,18,357,22,33.67992583714006,2.849582512040599,94.02062877248645,14.315024760835833,39.509468339906896,0,suburban_medium,0
T1,traditional,19,190,11,33.84439844621435,3.9976254549886305,104.09586435418505,6.181499338133195,17.060938173247614,0,suburban_medium,0
T1,traditional,20,202,11,31.11292050655772,2.393414179047872,105.19775419652397,6.3609487613372275,17.556218581290747,0,suburban_medium,0
T1,traditional,21,212,6,24.044586842311556,3.0722183927861266,90.65796134187309,6.195821014882769,17.10046600107644,0,suburban_medium,0
T1,traditional,22,76,2,23.893137403316093,3.1638723294333175,91.82291374293719,2.109826359808193,5.823120753070612,0,suburban_medium,0
T1,traditional,23,80,4,25.64288236961154,3.2200100563166156,91.28540185902891,2.3461276501133,6.475312314312707,0,suburban_medium,0
A1,ai,0,67,6,4.604281330523412,2.4986390156876843,14.119054276874529,1.0514182545170834,1.813696489041969,5,suburban_medium,0
A1,ai,1,59,2,4.2382177992413155,2.4782684780266284,14.236635370324414,0.8941733846203709,1.5424490884701396,2,suburban_medium,0
A1,ai,2,78,2,3.440144481318754,0.0010304002281741336,16.13037358832933,1.1859055975848372,2.0456871558338436,1,suburban_medium,0
A1,ai,3,62,3,4.158383278007824,2.3529320222533947,14.158150757555045,0.9668829180573901,1.667873033648998,1,suburban_medium,0
A1,ai,4,77,5,4.513050780499063,1.6310153171684294,15.467949857993421,1.2123806311010932,2.0913565886493855,2,suburban_medium,0
A1,ai,5,169,5,8.543828723128904,1.9307212071579503,14.956920255164553,2.941642672130287,5.074333609424745,3,suburban_medium,0
A1,ai,6,148,6,7.900438536031876,1.532004010248481,15.863439859505537,2.5338272719517523,4.370852044116773,3,suburban_medium,0
A1,ai,7,498,27,9.361309393464174,2.527210676119302,14.010950096947555,11.499699462997668,19.836981573670975,16,suburban_medium,0
A1,ai,8,425,13,12.000377574864793,2.1482161066476273,15.061706683989433,10.129999319304824,20.969098590960986,10,suburban_medium,0
A1,ai,9,158,7,12.444380517734123,0.4851289873243565,15.57443451803121,3.5541995846717125,7.357193140270445,4,suburban_medium,0
